Experiment,Participant,HighValueColumn,NumAlt,LowDim,HighDim,Product,Order,Choice
1,R_shzRGSOd4NF0Yr7,1,3,70-80,100-90,Grills,TCD,C
1,R_3oYFIfmUgNNrqhh,1,3,40-50,100-90,Mp 3 players,TCD,C
1,R_1OjHqwBXWm8rkoX,1,3,50-60,100-90,Grills,TCD,T
1,R_12b4KRZniwkehf9,1,2,60-70,100-90,Mp 3 players,TC,C
1,R_1NCGXFjB7gpFZa9,1,3,60-70,100-90,Grills,TCD,C
1,R_1Ffcyef9uDbtfr1,1,3,70-80,100-90,Backpack,TCD,C
1,R_roTjyarxhx36Bhv,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_1n3MOgJZpgpFCvO,1,3,50-60,100-90,Mp 3 players,TCD,T
1,R_3qakYchMloXsDPc,1,2,30-40,100-90,Backpack,TC,C
1,R_rpWlPksdqOEufVn,1,3,30-40,100-90,Grills,TCD,T
1,R_24cOyb6Zw0PY8TP,1,2,60-70,100-90,Grills,TC,T
1,R_3PhhNxg6KMAJvyP,1,2,50-60,100-90,Backpack,TC,C
1,R_1LTIrHwIwaPrgzn,1,3,30-40,100-90,Grills,TCD,C
1,R_3EbzSjnh4HdwNDS,1,3,40-50,100-90,Mp 3 players,TCD,T
1,R_DAJQmWAZKIbjBy9,1,2,40-50,100-90,Backpack,TC,T
1,R_1r78TFWpoCsj0Fz,1,3,60-70,100-90,Mp 3 players,TCD,T
1,R_UnFDe6mjGVw3M3L,1,3,60-70,100-90,Backpack,TCD,C
1,R_1BV0JAuwWi7t0ao,1,2,40-50,100-90,Mp 3 players,TC,C
1,R_2xWUoa0BzzIJpZQ,1,3,70-80,100-90,Mp 3 players,TCD,C
1,R_XZlAQ0BVkSWVLtn,1,3,40-50,100-90,Grills,TCD,C
1,R_V2A1GowvbtIo6Qx,1,3,60-70,100-90,Mp 3 players,TCD,T
1,R_BXMXxEKrcACawAF,1,3,70-80,100-90,Mp 3 players,TCD,C
1,R_2D8mMYdhqE8kSdQ,1,2,40-50,100-90,Grills,TC,C
1,R_AH9NdaT7ImlqnAt,1,3,40-50,100-90,Backpack,TCD,C
1,R_3D7lIhMIMcoDXii,1,2,60-70,100-90,Mp 3 players,TC,C
1,R_3kOozcBLgi20Jol,1,3,30-40,100-90,Grills,TCD,T
1,R_tDGBNfIrbDht4bL,1,3,50-60,100-90,Mp 3 players,TCD,C
1,R_1eV5psUY4pOBhhX,1,2,30-40,100-90,Grills,TC,T
1,R_3NzbSFGlXwwCEz9,1,3,40-50,100-90,Mp 3 players,TCD,C
1,R_2Ba4sfFtnbDFE8n,1,3,50-60,100-90,Backpack,TCD,C
1,R_2fe1nlLOjPmjRoR,1,2,60-70,100-90,Backpack,TC,C
1,R_3gwv51oWclSjqAF,1,3,40-50,100-90,Grills,TCD,C
1,R_SPodESvvGtY6fu1,1,3,50-60,100-90,Mp 3 players,TCD,C
1,R_2xGeYxytL0ekynB,1,3,60-70,100-90,Backpack,TCD,C
1,R_3noScL5amMFfped,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_2BlobEmA4iMZdgl,1,2,40-50,100-90,Mp 3 players,TC,T
1,R_2bMYgVfSXmz5uUY,1,2,30-40,100-90,Grills,TC,C
1,R_1XkoYPxtnxTTDFf,1,3,40-50,100-90,Backpack,TCD,C
1,R_1qX5Dg6AEq3buBB,1,3,70-80,100-90,Mp 3 players,TCD,C
1,R_1o54pNpoTAvNQel,1,3,30-40,100-90,Backpack,TCD,T
1,R_3R4aJJnhtJhUy9t,1,2,70-80,100-90,Mp 3 players,TC,C
1,R_u1YCv7p8VhyzBMl,1,3,30-40,100-90,Backpack,TCD,C
1,R_88RRytHt3UXmVdD,1,3,50-60,100-90,Grills,TCD,C
1,R_12MzbuPvEm3q51Z,1,3,50-60,100-90,Mp 3 players,TCD,C
1,R_2YFay10KuoOvI30,1,2,30-40,100-90,Backpack,TC,C
1,R_pPHfm9h7VPFI933,1,3,30-40,100-90,Backpack,TCD,C
1,R_1FJ5Atxgok0mRT3,1,3,50-60,100-90,Backpack,TCD,C
1,R_1qfDEqK96EmzqiT,1,3,50-60,100-90,Grills,TCD,C
1,R_1l63ttVSRIIWvvy,1,2,50-60,100-90,Backpack,TC,C
1,R_DrekZwiIxVeK2wp,1,2,50-60,100-90,Grills,TC,T
1,R_2tfb87kIDUfIpIW,1,3,70-80,100-90,Backpack,TCD,T
1,R_USJgkDdTlqZTdjb,1,3,30-40,100-90,Mp 3 players,TCD,C
1,R_3jUawx0vNliywSc,1,2,40-50,100-90,Mp 3 players,TC,C
1,R_2EhQFV9WFwFxNOf,1,3,50-60,100-90,Mp 3 players,TCD,C
1,R_3kptd5PZFU4fbIF,1,2,60-70,100-90,Grills,TC,C
1,R_1GAZxMwU0Pl4cBs,1,2,60-70,100-90,Grills,TC,T
1,R_1f3YYE7cvDEmFgo,1,2,40-50,100-90,Backpack,TC,T
1,R_1iePKQuvTepELbm,1,2,70-80,100-90,Mp 3 players,TC,T
1,R_7Pd1l7oNQgQwwBX,1,3,40-50,100-90,Grills,TCD,T
1,R_5z03XZlMLKF844p,1,3,50-60,100-90,Backpack,TCD,T
1,R_pLPoLeLluY7QR5n,1,2,70-80,100-90,Backpack,TC,T
1,R_2al616tOTSfSeyk,1,2,70-80,100-90,Backpack,TC,C
1,R_1JJYD87cEyxtJFc,1,2,40-50,100-90,Mp 3 players,TC,T
1,R_1Fh2uRntFt0Hn4f,1,3,40-50,100-90,Grills,TCD,C
1,R_2ATGxbo279jogMh,1,2,60-70,100-90,Mp 3 players,TC,T
1,R_eszbL5h9p0ORH6p,1,2,30-40,100-90,Backpack,TC,C
1,R_w80TsQdBN1BOC1X,1,3,40-50,100-90,Mp 3 players,TCD,T
1,R_3HU2hT5I1cbVtGB,1,2,40-50,100-90,Grills,TC,C
1,R_1r0SGxwqXgX9FYg,1,2,70-80,100-90,Backpack,TC,C
1,R_1FzWj6tQyEMmaV2,1,3,50-60,100-90,Backpack,TCD,C
1,R_1pKy8yg7TN8ovzH,1,3,60-70,100-90,Mp 3 players,TCD,T
1,R_2t8Pt0Kn3hDZ5A1,1,3,40-50,100-90,Grills,TCD,D
1,R_RPHL3tQTfdKBAY1,1,3,70-80,100-90,Mp 3 players,TCD,C
1,R_3EnGFTqrov3KQhm,1,2,70-80,100-90,Grills,TC,T
1,R_1OSNSPhXIUKB6Zl,1,2,40-50,100-90,Mp 3 players,TC,C
1,R_1FqrBIwyGF3gYJb,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_1rj1n1mSRSSQ2Bm,1,3,50-60,100-90,Backpack,TCD,C
1,R_1IMdXunfNJLh8Zn,1,3,40-50,100-90,Backpack,TCD,T
1,R_3GjEekgFmxNuEPE,1,2,30-40,100-90,Backpack,TC,T
1,R_0U4DYMmVTr9eVax,1,3,60-70,100-90,Backpack,TCD,C
1,R_ywECDfGWBu5RegN,1,3,50-60,100-90,Grills,TCD,C
1,R_2s6hENyAIgNisVy,1,2,70-80,100-90,Grills,TC,T
1,R_1BRGgJR87Kz6dKB,1,2,40-50,100-90,Mp 3 players,TC,T
1,R_2CdC0wZo4xSqlvT,1,2,60-70,100-90,Backpack,TC,T
1,R_1LpaoFZ7RlHJaWa,1,2,70-80,100-90,Grills,TC,C
1,R_1joYfHr17UZGIhF,1,3,40-50,100-90,Mp 3 players,TCD,C
1,R_3MA8SsCI4ZbE98t,1,3,70-80,100-90,Mp 3 players,TCD,T
1,R_1i4fitkZjDAJgUP,1,3,70-80,100-90,Backpack,TCD,C
1,R_1Cj2euT98XrmP5G,1,3,50-60,100-90,Mp 3 players,TCD,T
1,R_2dmTA8TARNm7ajg,1,2,50-60,100-90,Backpack,TC,C
1,R_3I5F2LHIX0PpcR5,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_0iweAwE8svJVOXT,1,2,30-40,100-90,Grills,TC,C
1,R_27PrHYaFlpOWBG7,1,2,50-60,100-90,Backpack,TC,C
1,R_2amg7SdRlwzD3Pd,1,3,50-60,100-90,Mp 3 players,TCD,C
1,R_2rCrFzE0R4Ohoti,1,3,40-50,100-90,Grills,TCD,C
1,R_3gO5ONH7RSHanx5,1,3,60-70,100-90,Backpack,TCD,C
1,R_9QveNh79IHkRpyp,1,3,50-60,100-90,Mp 3 players,TCD,T
1,R_21mLmqIACpJGsgA,1,3,60-70,100-90,Mp 3 players,TCD,T
1,R_3qakRzyzCpW250X,1,3,60-70,100-90,Grills,TCD,C
1,R_2f1juYufrtwEdv4,1,3,50-60,100-90,Backpack,TCD,C
1,R_2VfhfTzxfdFRWUH,1,3,50-60,100-90,Backpack,TCD,C
1,R_UmzKethK2ttt9iF,1,2,30-40,100-90,Backpack,TC,C
1,R_3HUKFksrJVEuDuY,1,2,60-70,100-90,Backpack,TC,T
1,R_3hnnNAKh9es9CVI,1,2,40-50,100-90,Mp 3 players,TC,T
1,R_3p4KBzAEgQ3IfKV,1,3,50-60,100-90,Mp 3 players,TCD,T
1,R_2uyWPd20qDs0Yoz,1,3,30-40,100-90,Backpack,TCD,T
1,R_1o5OxBEqOkphSAM,1,2,40-50,100-90,Grills,TC,T
1,R_2DRAXmGVeDd54Mm,1,3,60-70,100-90,Grills,TCD,T
1,R_1kGGbao048Iu4PX,1,2,30-40,100-90,Grills,TC,T
1,R_1jxPqiRGQ3yhd1d,1,2,50-60,100-90,Grills,TC,C
1,R_3RkfLxlnFVqaZsb,1,2,70-80,100-90,Backpack,TC,C
1,R_VW0iSwBJESAApWx,1,3,40-50,100-90,Mp 3 players,TCD,T
1,R_3Dj3ZVgwg2mS1pR,1,2,70-80,100-90,Mp 3 players,TC,T
1,R_20Zr7tHyVJSHu1D,1,3,60-70,100-90,Mp 3 players,TCD,C
1,R_Wp6obrCH21BZV9n,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_10HiLdYusKLlvV6,1,2,60-70,100-90,Grills,TC,C
1,R_s6iflh7Nxc7D3Nf,1,2,70-80,100-90,Backpack,TC,T
1,R_3FQCJCG4sKmFMci,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_BsorDNAO2DVRfnr,1,3,30-40,100-90,Grills,TCD,C
1,R_5oIMNbPiiWJ25KV,1,2,30-40,100-90,Grills,TC,T
1,R_22KZTz5tTY8blSB,1,3,30-40,100-90,Backpack,TCD,C
1,R_2dhBDg1hxITBOFu,1,3,70-80,100-90,Backpack,TCD,C
1,R_1d4DZIJigc9AXGX,1,2,60-70,100-90,Backpack,TC,C
1,R_agRxm3Ea305qAj7,1,3,50-60,100-90,Mp 3 players,TCD,T
1,R_1pDmWziVNdSjidn,1,3,60-70,100-90,Backpack,TCD,T
1,R_SJmQiPCHEhhX5br,1,2,40-50,100-90,Grills,TC,C
1,R_3fuz9arNDOjtRi5,1,2,60-70,100-90,Grills,TC,T
1,R_1H1Q23UCsNXtxpP,1,3,30-40,100-90,Grills,TCD,C
1,R_3D8cgvB1Z5azBpz,1,2,40-50,100-90,Grills,TC,T
1,R_tLifrLKxvFNwsMN,1,2,30-40,100-90,Mp 3 players,TC,T
1,R_3mks2eZFIZMnQQD,1,2,50-60,100-90,Grills,TC,T
1,R_3f2jiAouTNIRmTf,1,3,30-40,100-90,Mp 3 players,TCD,C
1,R_3MF4STpPBS0eYxE,1,2,50-60,100-90,Grills,TC,C
1,R_3PHPhQLqBRRVfVy,1,3,40-50,100-90,Mp 3 players,TCD,T
1,R_3r385MY8f281U6N,1,3,30-40,100-90,Mp 3 players,TCD,C
1,R_2ONkPLOgTEfRj4N,1,2,30-40,100-90,Grills,TC,C
1,R_1F2H98jQi3v2W7B,1,3,40-50,100-90,Grills,TCD,T
1,R_DNW3diKSyawJmy5,1,2,70-80,100-90,Grills,TC,T
1,R_1mF58ysGneoNSLy,1,3,30-40,100-90,Mp 3 players,TCD,T
1,R_241xSbBdG6wHF81,1,3,50-60,100-90,Backpack,TCD,C
1,R_78pAjlQJj1x5lxn,1,3,60-70,100-90,Backpack,TCD,C
1,R_1PS1dRtMkwGwWbX,1,3,60-70,100-90,Backpack,TCD,T
1,R_3ExTg62qBDuQriC,1,3,50-60,100-90,Backpack,TCD,C
1,R_2Y3tSHke4nAmqVQ,1,3,60-70,100-90,Grills,TCD,C
1,R_D18qcfiiyn3h1Wp,1,2,50-60,100-90,Grills,TC,T
1,R_29hmONc2xmVQMqP,1,2,30-40,100-90,Backpack,TC,C
1,R_2E6JsCbKc08WnpO,1,2,40-50,100-90,Backpack,TC,T
1,R_6lYE6ItXaRv8hgZ,1,3,30-40,100-90,Grills,TCD,C
1,R_3PiXOaBLOy8RjVT,1,2,70-80,100-90,Backpack,TC,C
1,R_4UT5WXpJW9WHSyR,1,3,60-70,100-90,Mp 3 players,TCD,C
1,R_V259MS5kHtjL32h,1,2,70-80,100-90,Grills,TC,T
1,R_1gpbofxZkY3UocV,1,2,60-70,100-90,Backpack,TC,T
1,R_9A1nBHV3JWP8zHb,1,3,30-40,100-90,Backpack,TCD,C
1,R_ewwq8GjiUojdUIx,1,3,50-60,100-90,Grills,TCD,C
1,R_r6aEncyVOOLYWA1,1,3,50-60,100-90,Backpack,TCD,C
1,R_2sU1CXlCEwBiztP,1,3,30-40,100-90,Grills,TCD,C
1,R_sh9zwC8jb47Ks9j,1,3,40-50,100-90,Mp 3 players,TCD,C
1,R_1qakLOoK8VFCyyu,1,3,70-80,100-90,Backpack,TCD,C
1,R_PXqdDmYADk281hL,1,3,60-70,100-90,Backpack,TCD,T
1,R_2AWhHjP6JawrS7m,1,2,60-70,100-90,Backpack,TC,C
1,R_eICdJ2R0NTlOsg1,1,3,40-50,100-90,Mp 3 players,TCD,T
1,R_1MKSFU5w6ftILRK,1,3,60-70,100-90,Mp 3 players,TCD,T
1,R_3KQ3v1AuGzr0Z9E,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_qx8Ew8yB3rhuwAV,1,3,70-80,100-90,Backpack,TCD,C
1,R_1EYvVQEA7wAEPwV,1,2,40-50,100-90,Grills,TC,T
1,R_1F4A2Z6X1koZJwV,1,3,50-60,100-90,Grills,TCD,C
1,R_2eX4113gOssTuQa,1,2,60-70,100-90,Backpack,TC,C
1,R_2TTWhGfXz9A4gfG,1,2,50-60,100-90,Mp 3 players,TC,T
1,R_czMXI2SeNX5M3Qt,1,3,50-60,100-90,Grills,TCD,C
1,R_abndrqasIOjFyGl,1,3,30-40,100-90,Backpack,TCD,C
1,R_2WSxflz4g0YKOZY,1,2,30-40,100-90,Mp 3 players,TC,C
1,R_25R6zWBW0wMyjhz,1,2,70-80,100-90,Mp 3 players,TC,T
1,R_3saUMfJO5b4HFqo,1,3,60-70,100-90,Backpack,TCD,C
1,R_QgqYvtpVN9f0hYl,1,2,40-50,100-90,Mp 3 players,TC,T
1,R_yHBHn8ogPtZQfN7,1,3,40-50,100-90,Backpack,TCD,C
1,R_O3DSEY8BVL6ANvb,1,3,40-50,100-90,Mp 3 players,TCD,C
1,R_1IQW4MkOCvx5SXu,1,2,30-40,100-90,Grills,TC,C
1,R_3qfkQ76UxKxHn2i,1,3,30-40,100-90,Mp 3 players,TCD,C
1,R_1E3UcuHkNQ62eJl,1,2,30-40,100-90,Backpack,TC,C
1,R_1gGE5W8vVcV6KAP,1,3,60-70,100-90,Mp 3 players,TCD,C
1,R_1P0hH430z4qXG2w,1,2,70-80,100-90,Grills,TC,C
1,R_pxTTbDdsDclE2Bz,1,2,70-80,100-90,Backpack,TC,C
1,R_1nTIyXCdpKAa8K7,1,3,30-40,100-90,Mp 3 players,TCD,T
1,R_32J7DXKrGdilUUk,1,3,70-80,100-90,Grills,TCD,C
1,R_1oIjSmkpRwG88M9,1,2,30-40,100-90,Mp 3 players,TC,C
1,R_1kGG39SmPL4L2su,1,2,50-60,100-90,Grills,TC,T
