participant,age,race,ethnicity,gender,strategy_response
132,39,White,No,Male,give price rangers
133,34,White,No,Male,I priorities some qualities more than another 
134,25,Black or African-American,No,Male,I chose the objectively better products
135,43,Black or African-American,No,Male,"I looked at my priorities like processor power against the ram in the laptop for instance,also things like cooking power and lifespan"
136,38,White,No,Female,"I tried to pick about the average price; I actually resell antiques in real life... I hope I didn't do too bad; I had always been told you don't want to be the lowest because people will think there's something wrong with the product and you don't want to be the highest, because then people will think you're greedy."
137,59,White,No,Female,I choses the product considering long lifespan and best performance 
10,42,White,Yes,Female,I just guessed honestly
11,40,Black or African-American,No,Female,i had to think and analyze well
12,45,White,No,Female,I chose one that was the best of both if one didn't far exceed the others
13,31,Black or African-American,No,Male,NA
14,22,White,No,Male,I took the average number of quality from both options and chose the one with a higher average.
15,40,White,Yes,Female,"I tried to price items according to the features and longevity. And then to choose products, I picked what I perceived to be the best one."
16,37,White,No,Female,"I assumed that immediate benefits are more important to contemporary consumers, so I chose largest screen size, highest cooking power, and energy savings first, then chose best option of the secondary categories."
18,28,Black or African-American,No,Male,"I didn't care about energy savings, as I've only ever lived in apartments. I rated processing speed as worth more than RAM as it takes more labor to find newer CPU chipsets than to slap more RAM into a computer. I have literally never redeemed a warranty in my life and didn't rate it nearly as highly as cooking power. I hope this all helps you understand my answers, or at leasts makes them seem more consistent, which I tried my hardest to be."
4,32,White,No,Female,The study was smoothly on the task following the instructions provided on the start
19,51,Black or African-American,No,Male,"The second part was somehow easy, chosing what I would go for. I imagined I was shopping for the items in an online store and made my preferences."
20,30,White,No,Male,I CHOOSE MY OPTION BECAUSE OF HOW BENEFICIAL IT WILL BE 
23,27,Black or African-American,No,Female,I do my calculations
25,NA,White,No,Female,in laptops i usually looked at processing speed first  and the storage 
26,32,White,No,Female,Engaging
27,35,Black or African-American,No,Female,"Weighed both the RAM and warranty, the highest among each one I chose"
28,62,Black or African-American,No,Male,"I approached this task by evaluating both key attributes, cooking power and warranty, to find the product offering the best overall value. While Products A and B had the highest cooking power, their warranties were relatively low. Product C, on the other hand, maintained strong cooking performance (90) and had the highest warranty (40) among the three. I prioritized long-term reliability and performance balance, as a slightly lower cooking power with better warranty offers more value and customer satisfaction over time."
30,68,White,No,Female,"I can add more memory, so processing speed was more important"
32,45,Black or African-American,No,Female,I chose the better life span on most of them. Some I chose the better warranty. 
33,48,White,No,Male,i chose the product that best suited my needs
34,54,"Asian,White",No,Female,"I tried to look at an average, something in the middle."
35,35,Black or African-American,No,Female,with the pricing I used the numbers that would give me profit but not too high people would not buy. I brought what I was willing to buy with my own money in the second part.
36,42,White,No,Female,I considered the life span of the product
37,26,White,No,Female,"tried to pick oput the products that would have been the best deal, like best warranty and best product specs"
38,29,White,No,Male,power over size
39,21,Black or African-American,No,Female,I check the one with the highest spec in the two categories.
40,50,White,No,Female,i look at what will serve me the longest in the best way possible
41,45,White,No,Male,I WAS PRICING ACCORDING TO THE BEST QUALITY OF A PRODUCT AND CHOOSING PRODUTS WITH THE BEST QUALITY
42,29,Black or African-American,No,Male,I went for the trials with higher rating then the low
43,41,White,No,Female,I thought about how much I would spend on the products for their quality. 
44,24,Asian,No,Female,"For the first phase I would add up the numbers and determine the prices relative to each other based on that. For the second phase, I would pick whatever had the highest numbers in both categories, or whatever had the highest number in the category that I cared about, but if the other number was too low, then I would try to pick one that was not too low on both sides."
45,39,White,No,Female,I chose to focus more of the which product had the higher number for the specifications not related to the warranty as I believe that is secondary in importance compared to the other specifications listed.
46,22,Black or African-American,No,Male,Precision in choice. I looked at specific features
47,60,White,No,Female,I chose the item with the highest number of what was important to me.  IE screen size
48,28,White,No,Female,"under microwave i wa s choosing the best with cooking power ,in laptop i was choosing based on speed , in washing machine i was choosing based on energy saving and on tv i was  choosing based on warrant"
49,51,White,No,Female,"I chose the products that either had more processing speed, energy savings, cooking time, or bigger screens."
50,57,White,No,Male,strength in numbers
52,50,White,No,Male,NA
